nombre,telefono,direccion,latitud,longitud,municipio,categoria
El Ventorrillo de Abuelo Bar & Grill,,"8J88+4PJ, Morovis, 00687, Puerto Rico",18.3153471,-66.38324,Morovis,Jangueo
Colmado Bar Cafetín El Flamboyán Since 1972,,"C. 7, Morovis, 00687, Puerto Rico",18.3286762,-66.374014,Morovis,Jangueo
Agencia Hípica 410 “La Buchaca Sport Bar & Grill”,,"Km. 1.0 PR-6622, Morovis, 00687, Puerto Rico",18.3208651,-66.4181062,Morovis,Jangueo
Lechonera BAJARI,,"Carretera 155, Bo km 44.8, Morovis, 00687, Puerto Rico",18.3105752,-66.4088769,Morovis,Jangueo
Cata Viva,,"8 Cll Principal, Morovis, 00687, Puerto Rico",18.3258908,-66.40651729999999,Morovis,Jangueo
The Flight Park,,"CXPQ+R5G, Carolina, 00979, Puerto Rico",18.4370595,-66.01203989999999,Morovis,Jangueo
El Nuevo Cantinflas,,"8HHV+M8G, State Rte 155, Morovis 00687, Puerto Rico",18.329198,-66.4066723,Morovis,Jangueo
Tito and Olga's Terrace,,"8H3J+GX6, PR-6616, Morovis, 00687, Puerto Rico",18.303741,-66.41664899999999,Morovis,Jangueo
Alcaldía Sport Bar,,"1006 Av. Juan Ponce de León, San Juan, 00924, Puerto Rico",18.4009876,-66.05229510000001,Morovis,Jangueo
The Humble Sport Bar,,"8J49+H7, Morovis, 00687, Puerto Rico",18.3064088,-66.3818645,Morovis,Jangueo
Pa'l puente sport bar,,"PR-567, Morovis, 00687, Puerto Rico",18.3033602,-66.43716180000001,Morovis,Jangueo
El Túnel Lucky Cash,,"El Tunel Car Wash, Av. 65 de Infantería, San Juan, 00926, Puerto Rico",18.3943359,-66.03405130000002,Morovis,Jangueo
Colmado y Bar La Gran Parada,,"7JH4+8R2, Morovis, 00687, Puerto Rico",18.2782727,-66.3929893,Morovis,Jangueo
Yoly's Café,,"C288+4P2, PR-190, Carolina, 00983, Puerto Rico",18.4152575,-65.98323429999999,Morovis,Jangueo
The Stream,,"8H37+C52, Morovis 00687, Puerto Rico",18.3035189,-66.43710999999999,Morovis,Jangueo
Wido's Pub,,"8H86+3PQ, Fránquez, Morovis 00687, Puerto Rico",18.3152137,-66.4381938,Morovis,Jangueo
Mojitos Solution Bar & Rest.,,"796 Av. Roberto Sánchez Vilella, San Juan, 00924, Puerto Rico",18.4080781,-66.0017149,Morovis,Jangueo
Studio 54,,"C298+3R9, Carolina, 00983, Puerto Rico",18.4176681,-65.9828899,Morovis,Jangueo
El Mercadito de Luly,,"World Plaza, 268 Av. Luis Muñoz Rivera, San Juan, 00919, Puerto Rico",18.4241186,-66.0588422,Morovis,Jangueo
El Ocho de Rio,,"102 Av. Universidad, San Juan, 00925, Puerto Rico",18.4029734,-66.05471949999999,Morovis,Jangueo
El CAPORAL,,"9XWJ+M53, San Juan, 00924, Puerto Rico",18.3966413,-66.01958619999999,Morovis,Jangueo
HighlevelSportbar,,"825 Ave Iturregui, San Juan, 00924, Puerto Rico",18.411787,-66.009216,Morovis,Jangueo
Ven Pa' Qué Gozes,,"1003 Calle Los Angeles, San Juan, 00923, Puerto Rico",18.4003697,-66.03720489999999,Morovis,Jangueo
El Punto 8 Sport Bar,,"901 Cll Hypolais, San Juan, 00924, Puerto Rico",18.4083342,-66.0077283,Morovis,Jangueo
El Caney Restaurant,,"Carr. 149 Bo. Pesas Km 21, 6, Ciales 00638, Puerto Rico",18.2960735,-66.4962884,Morovis,Restaurantes
The Three Mangoes Farm,,"8JHH+C5F, C. Los 40, Bo, Morovis 00687, Puerto Rico",18.3285681,-66.3720682,Morovis,Jangueo
Piel Kanela,,"Parcelas Hill Brother, 375 Calle 11, Río Piedras, San Juan 00924, Puerto Rico",18.3945066,-66.0215245,Morovis,Jangueo
Refill Sport Bar,,"990 C. Eider, San Juan, 00924, Puerto Rico",18.4043149,-66.00402679999999,Morovis,Jangueo
La Esquina de Diego,,"553 Calle de Diego, San Juan, 00901, Puerto Rico",18.3977908,-66.0311442,Morovis,Jangueo
Perico's Pub,,"CW2F+FMP, Av. Américo Miranda, San Juan, 00921, Puerto Rico",18.4012161,-66.075802,Morovis,Jangueo
Triángulo,,"75 C. Arzuaga, San Juan, 00925, Puerto Rico",18.3979964,-66.05010109999999,Morovis,Jangueo
Ruta Típica,,"entrada hacia Franquez!, Carretera #137 Estatal Moravis Puerto Rico,en dirección Sur a la izquierda, Morovis, 00687, Puerto Rico",18.3228736,-66.4122043,Morovis,Jangueo
Pa’L Monte de Villalba,,"4F3M+GW, 18 103805655592993, -66.51497056994464, Villalba, 00766, Puerto Rico",18.1036893,-66.5150379,Morovis,Jangueo
Otro Burger,,"Carr. 155km, bo #48.1, Morovis, 00687, Puerto Rico",18.334061,-66.4086963,Morovis,Food Trucks
FELO'S FOOD TRUCK,,"playa, Vega Baja 00693, Puerto Rico",18.4897406,-66.3989244,Morovis,Food Trucks
Pedrona Food Truck,,"CARR 863, Pajaros, Toa Baja 00949, Puerto Rico",18.3935111,-66.2005472,Morovis,Food Trucks
LA ARGENTINA FOOD TRUCK,,"8H53+6V, Morovis, 00687, Puerto Rico",18.3080625,-66.4453125,Morovis,Food Trucks
Alex Food Truck,,"Bo Km 6.2, Vega Baja 00693, Puerto Rico",18.3886299,-66.42343240000001,Morovis,Food Trucks
La 42 Food Truck Park,,"Carr Puerto Rico 2 km 42.2, Vega Baja, 00693, Puerto Rico",18.4422978,-66.42437939999999,Morovis,Food Trucks
Sabores Criollos Food Truck,,"CHVM+GXM, Vega Baja, 00693, Puerto Rico",18.4438473,-66.4150746,Morovis,Food Trucks
Miramar Food Truck Park,,"1006 Av. de la Constitución, San Juan, 00907, Puerto Rico",18.4531242,-66.07851149999999,Morovis,Food Trucks
Isabela Food Truck Park,,"111 PR-2, Isabela, 00662, Puerto Rico",18.4730905,-67.0146833,Morovis,Food Trucks
Cupey Food Truck Park,,"PR-176, antes calle Tejas, Ave Victor M Labiosa, San Juan, 00926, Puerto Rico",18.375297,-66.05441569999999,Morovis,Food Trucks
Leña Eh Food Truck,,"1006 PR-25, San Juan, 00901, Puerto Rico",18.4530985,-66.0785191,Morovis,Food Trucks
Con-Tenedores Food Truck Park,,"45WP+3RH, Bo, Humacao, 00791, Puerto Rico",18.1451794,-65.8128978,Morovis,Food Trucks
Pa’l Yunque Food Park,,"96CJ+583, 34 1 min, Palmer, Río Grande 00745, Puerto Rico",18.3704101,-65.7692679,Morovis,Food Trucks
Sabores Gourmet Criollo (Food Truck),,"CRWH+4G2, Levittown, Toa Baja 00949, Puerto Rico",18.445304,-66.1719884,Morovis,Food Trucks
D’licias Food Truck,,"barrio puerto blanco, Florida, 00650, Puerto Rico",18.389643,-66.576973,Morovis,Food Trucks
Enhorabuena Food Truck,,"km 25.7 bo PR-115, Aguada, 00602, Puerto Rico",18.3904312,-67.1661314,Morovis,Food Trucks
Wings & Fries Co. - Morovis,,"PR-137 KM 13.7, Morovis, 00687, Puerto Rico",18.3279415,-66.4235672,Morovis,Food Trucks
La Revancha foodtruck,,"PR-2, Vega Baja, 00693, Puerto Rico",18.4425118,-66.4243193,Morovis,Food Trucks
J’s Pizza Food Truck,,"166 Las Cumbres Ave, Guaynabo, 00969, Puerto Rico",18.3610439,-66.1146907,Morovis,Food Trucks
Piscolabis Food Truck,,"CPCJ+8JX, Maguayo, Dorado 00646, Puerto Rico",18.4208719,-66.2683869,Morovis,Food Trucks
La Ruta Bar & Restaurant,,"622-652 Cll Armando Mejías, Morovis, 00687, Puerto Rico",18.3400715,-66.4214248,Morovis,Restaurantes
Bistruck PR,,"PR-2 km 42.2, Vega Baja, 00693, Puerto Rico",18.4424166,-66.4248125,Morovis,Food Trucks
Food Street,,"1319 Avenida F.D. Roosevelt, San Juan, 00920, Puerto Rico",18.4137549,-66.0903902,Morovis,Food Trucks
Jobos Food Stop,,"GW77+3HW, Isabela 00662, Puerto Rico",18.512738,-67.0860507,Morovis,Food Trucks
Fuego sobre Ruedas Food Truck,,"FHQW+FX2, C. Mar y Sol, Vega Baja 00693, Puerto Rico",18.488647,-66.4026191,Morovis,Food Trucks
La argentina,,"8HGV+9C4, Morovis, 00687, Puerto Rico",18.3258916,-66.4064346,Morovis,Food Trucks
Las Jibaritas Food Truck,,"Expreso Trujillo Alto, #181 Urb. Lago Alto, San Juan, Trujillo Alto 00926, Puerto Rico",18.3649428,-66.00714839999999,Morovis,Food Trucks
Food Truck Park,,"166 PR-199, Guaynabo, 00969, Puerto Rico",18.3610604,-66.11528609999999,Morovis,Food Trucks
Grandpa's Seasoning,,"8HCV+22P, PR-137, Morovis, 00687, Puerto Rico",18.3200876,-66.4074179,Morovis,Food Trucks
Los Mini Pastelitos,,"carr. 159 K 0.5, Morovis, 00687, Puerto Rico",18.325567,-66.401765,Morovis,Food Trucks
La Chuby Sandwiches,,"8HFP+MQQ, PR-137, Morovis, 00687, Puerto Rico",18.3242052,-66.4130157,Morovis,Food Trucks
Maelo Chicken Fever,,"KM. 54.3, State Rte 155, Morovis 00687, Puerto Rico",18.3531855,-66.4372814,Morovis,Food Trucks
La Chulada Foodtruck,,"La Peseta, km2.0 Av. Alejandrino, Guaynabo, 00969, Puerto Rico",18.3647064,-66.0986716,Morovis,Food Trucks
Food Trucks,,"C. Comercio, San Juan, 00902, Puerto Rico",18.4636504,-66.114226,Morovis,Food Trucks
Bebes Food Truck,,"8GQM+77C, Ciales, 00638, Puerto Rico",18.3382204,-66.4667903,Morovis,Food Trucks
Caguas Food Park,,"190 Ave Bairoa, Caguas, 00725, Puerto Rico",18.2587044,-66.0382711,Morovis,Food Trucks
Lechonera BAJARI,,"Carretera 155, Bo km 44.8, Morovis, 00687, Puerto Rico",18.3105752,-66.4088769,Morovis,Food Trucks
Los Compis Food Truck,,"Carretera 779 Kilometro 7.3 Barrio, Comerío 00782, Puerto Rico",18.2313874,-66.2591877,Morovis,Food Trucks
Cangrejeros Food Truck Park,,"154 C. Eugenio Benítez Castaño, San Juan, 00911, Puerto Rico",18.4483937,-66.0572605,Morovis,Food Trucks
Sabor de meche Food truck,,"107 Cll Popular, Caño Martin Peña, San Juan 00917, Puerto Rico",18.4287377,-66.0574127,Morovis,Food Trucks
Señor Alitas,,"Bo, PR-159 km 0.7, Morovis, 00687, Puerto Rico",18.3257896,-66.3998901,Morovis,Food Trucks
El Ventorrillo de Abuelo Bar & Grill,,"8J88+4PJ, Morovis, 00687, Puerto Rico",18.3153471,-66.38324,Morovis,Jangueo
