place_id,nombre,categoria_principal,subcategoria_sugerida
ChIJdbY95UJbA4wR2-CGjc0LT3U,Passo Boutique,Boutiques,Moda
ChIJlTPohjBqA4wRhQUA8fFz3lk,Annie's Boutique,Boutiques,Ropa
ChIJlTPohjBqA4wRhQUA8fFz3lk,Annie's Boutique,Boutiques,Tienda
ChIJlTPohjBqA4wRhQUA8fFz3lk,Annie's Boutique,Boutiques,Moda
ChIJgUZZpC0zA4wRUrfhEF7TyY0,Xuira Boutique | Moda femenina en Puerto Rico y USA,Boutiques,Ropa
ChIJgUZZpC0zA4wRUrfhEF7TyY0,Xuira Boutique | Moda femenina en Puerto Rico y USA,Boutiques,Tienda
ChIJgUZZpC0zA4wRUrfhEF7TyY0,Xuira Boutique | Moda femenina en Puerto Rico y USA,Boutiques,Moda
ChIJ9Y1UVbFrA4wRhGBmRam1fsA,Lucky Love Boutique,Boutiques,Ropa
ChIJ9Y1UVbFrA4wRhGBmRam1fsA,Lucky Love Boutique,Boutiques,Tienda
ChIJ9Y1UVbFrA4wRhGBmRam1fsA,Lucky Love Boutique,Boutiques,Moda
ChIJdYNHjcDnAowRTWeEXORFhz8,D Boutique,Boutiques,Ropa
ChIJdYNHjcDnAowRTWeEXORFhz8,D Boutique,Boutiques,Tienda
ChIJdYNHjcDnAowRTWeEXORFhz8,D Boutique,Boutiques,Moda
ChIJezACki3VHIwRVDyHFYwBE04,Vonique Boutique,Boutiques,Ropa
ChIJezACki3VHIwRVDyHFYwBE04,Vonique Boutique,Boutiques,Tienda
ChIJezACki3VHIwRVDyHFYwBE04,Vonique Boutique,Boutiques,Moda
ChIJreAT3MpBA4wRSCToy4DKN6I,Le Menina Boutique,Boutiques,Ropa
ChIJreAT3MpBA4wRSCToy4DKN6I,Le Menina Boutique,Boutiques,Accesorios
ChIJreAT3MpBA4wRSCToy4DKN6I,Le Menina Boutique,Boutiques,Tienda
ChIJreAT3MpBA4wRSCToy4DKN6I,Le Menina Boutique,Boutiques,Moda
ChIJt4EZLJTVHIwRtrqvI44zoAQ,Atelier Lissa Porrata,Boutiques,Ropa
ChIJt4EZLJTVHIwRtrqvI44zoAQ,Atelier Lissa Porrata,Boutiques,Tienda
ChIJveDJLprVHIwRmxVN0HgoPVE,Kriado,Boutiques,Ropa
ChIJveDJLprVHIwRmxVN0HgoPVE,Kriado,Boutiques,Tienda
ChIJpSCyufloA4wRiWL_ifXBRdY,Corte Frances Boutique,Boutiques,Ropa
ChIJpSCyufloA4wRiWL_ifXBRdY,Corte Frances Boutique,Boutiques,Tienda
ChIJpSCyufloA4wRiWL_ifXBRdY,Corte Frances Boutique,Boutiques,Moda
ChIJI3PPY4Q2A4wRzoF0a9p6a0I,Garage Boutique,Boutiques,Ropa
ChIJI3PPY4Q2A4wRzoF0a9p6a0I,Garage Boutique,Boutiques,Tienda
ChIJI3PPY4Q2A4wRzoF0a9p6a0I,Garage Boutique,Boutiques,Moda
ChIJ6WPZdsVpA4wRItAXcRTPy4Y,Chic Boutique,Boutiques,Ropa
ChIJ6WPZdsVpA4wRItAXcRTPy4Y,Chic Boutique,Boutiques,Tienda
ChIJ6WPZdsVpA4wRItAXcRTPy4Y,Chic Boutique,Boutiques,Moda
ChIJ488mDprVHIwRdY5H6mhep68,Hembras Boutique,Boutiques,Ropa
ChIJ488mDprVHIwRdY5H6mhep68,Hembras Boutique,Boutiques,Tienda
ChIJ488mDprVHIwRdY5H6mhep68,Hembras Boutique,Boutiques,Moda
ChIJCZHW4Y0pHYwR-R5tDjGjEbI,Sois Boutique,Boutiques,Ropa
ChIJCZHW4Y0pHYwR-R5tDjGjEbI,Sois Boutique,Boutiques,Tienda
ChIJCZHW4Y0pHYwR-R5tDjGjEbI,Sois Boutique,Boutiques,Moda
ChIJ-WhFZOOyAowRF6LJA45_by0,We Boutique by Lolita Boutique,Boutiques,Ropa
ChIJ-WhFZOOyAowRF6LJA45_by0,We Boutique by Lolita Boutique,Boutiques,Tienda
ChIJ-WhFZOOyAowRF6LJA45_by0,We Boutique by Lolita Boutique,Boutiques,Moda
ChIJme7k40dvA4wRzQtMNmdfi_M,Nativa Boutique,Boutiques,Tienda
ChIJme7k40dvA4wRzQtMNmdfi_M,Nativa Boutique,Boutiques,Moda
ChIJ00J105Y5A4wRrAJOXpHe524,Fashion Lab Boutique,Boutiques,Ropa
ChIJ00J105Y5A4wRrAJOXpHe524,Fashion Lab Boutique,Boutiques,Tienda
ChIJ00J105Y5A4wRrAJOXpHe524,Fashion Lab Boutique,Boutiques,Moda
ChIJk0FWkUJJA4wRfiSEwN0QOI8,M Boutique By: Mariely Colón,Boutiques,Ropa
ChIJk0FWkUJJA4wRfiSEwN0QOI8,M Boutique By: Mariely Colón,Boutiques,Tienda
ChIJk0FWkUJJA4wRfiSEwN0QOI8,M Boutique By: Mariely Colón,Boutiques,Moda
ChIJL3cykPrTAowR2jSc7pPT6iQ,Daniella's Boutique,Boutiques,Ropa
ChIJL3cykPrTAowR2jSc7pPT6iQ,Daniella's Boutique,Boutiques,Tienda
ChIJL3cykPrTAowR2jSc7pPT6iQ,Daniella's Boutique,Boutiques,Moda
ChIJrdt3x4jVHIwRNf8sLaj052Q,PicardíaBTQ (Picardía Boutique),Boutiques,Ropa
ChIJrdt3x4jVHIwRNf8sLaj052Q,PicardíaBTQ (Picardía Boutique),Boutiques,Tienda
ChIJrdt3x4jVHIwRNf8sLaj052Q,PicardíaBTQ (Picardía Boutique),Boutiques,Moda
ChIJ-Ztad5EZA4wRWGmEtnLEQ_U,Somarie Boutique,Boutiques,Ropa
ChIJ-Ztad5EZA4wRWGmEtnLEQ_U,Somarie Boutique,Boutiques,Tienda
ChIJ-Ztad5EZA4wRWGmEtnLEQ_U,Somarie Boutique,Boutiques,Moda
